2020-08-11 12:38:26,446 - Recorded info
2020-08-11 12:40:03,320 - Recorded info
2020-08-11 13:11:41,756 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1209 , 66 
2020-08-11 13:11:41,757 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1275 , 0 
2020-08-11 13:12:07,133 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1173 , 102 
2020-08-11 13:12:07,134 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1173 , 102 
2020-08-11 13:12:07,134 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1198 , 77 
2020-08-11 13:12:32,664 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1226 , 49 
2020-08-11 13:12:32,665 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1227 , 48 
2020-08-11 13:12:32,670 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1226 , 49 
2020-08-11 13:12:32,671 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1227 , 48 
2020-08-11 13:12:58,361 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1174 , 101 
2020-08-11 13:12:58,362 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1234 , 41 
2020-08-11 13:12:58,362 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1174 , 101 
2020-08-11 13:12:58,363 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1234 , 41 
2020-08-11 13:13:24,210 - >>>>>>>>1ST MX 2ND LEVEL MINOR SOLID HUMIDITY @ 2 STD -> 225 spec is 128.887511
2020-08-11 13:13:24,211 - >>>>>>>>1ST MX 1ST LEVEL MINOR SOLID HUMIDITY @ 2 STD -> 225 spec is 104.218756
2020-08-11 13:13:24,212 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1175 , 100 
2020-08-11 13:13:49,977 - >>>>>>>>1ST MX 1ST LEVEL MINOR SOLID HUMIDITY @ 2 STD -> 107 spec is 104.218756
2020-08-11 13:13:49,978 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1168 , 107 
2020-08-11 13:13:49,979 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1178 , 97 
2020-08-11 13:14:15,832 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1176 , 99 
2020-08-11 13:14:15,833 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1226 , 49 
2020-08-11 13:14:15,834 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1176 , 99 
2020-08-11 13:14:15,835 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1226 , 49 
2020-08-11 13:14:41,419 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1207 , 68 
2020-08-11 13:14:41,420 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1253 , 22 
2020-08-11 13:14:41,421 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1207 , 68 
2020-08-11 13:14:41,422 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1253 , 22 
2020-08-11 13:15:07,050 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1174 , 101 
2020-08-11 13:15:07,051 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1207 , 68 
2020-08-11 13:15:07,053 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1174 , 101 
2020-08-11 13:15:07,054 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1207 , 68 
2020-08-11 13:15:32,528 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1188 , 87 
2020-08-11 13:15:32,529 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1258 , 17 
2020-08-11 13:15:32,533 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1188 , 87 
